site,tree_id,time_date,direction,replicate,rna,dna
MB,1013,2022-08-04T09:40:00Z,West,5,4898,4998
MB,1013,2022-08-04T09:40:00Z,West,Control,4899,4999
MA,722,2022-08-04T09:00:00Z,North,1,4863,4963
MA,722,2022-08-04T09:00:00Z,North,2,4864,4964
MA,722,2022-08-04T09:00:00Z,North,3,4865,4965
MA,722,2022-08-04T09:00:00Z,North,4,4866,4966
MA,722,2022-08-04T09:00:00Z,North,5,4867,4967
MA,722,2022-08-04T09:00:00Z,North,Control,4868,4968
MA,722,2022-08-04T09:00:00Z,East,1,4856,4956
MA,722,2022-08-04T09:00:00Z,East,2,48567,48667
MA,722,2022-08-04T09:00:00Z,East,3,4858,4958
MA,722,2022-08-04T09:00:00Z,East,4,4859,4959
MA,722,2022-08-04T09:00:00Z,East,5,4861,4961
MA,722,2022-08-04T09:00:00Z,East,Control,4862,4962
MA,722,2022-08-04T09:00:00Z,South,1,4849,4949
MA,722,2022-08-04T09:00:00Z,South,2,4851,4951
MA,722,2022-08-04T09:00:00Z,South,3,4852,4952
MA,722,2022-08-04T09:00:00Z,South,4,4853,4953
MA,722,2022-08-04T09:00:00Z,South,5,4854,4954
MA,722,2022-08-04T09:00:00Z,South,Control,4855,4955
MA,722,2022-08-04T09:00:00Z,West,1,4869,4969
MA,722,2022-08-04T09:00:00Z,West,2,4871,4971
MA,722,2022-08-04T09:00:00Z,West,3,4872,4972
MA,722,2022-08-04T09:00:00Z,West,4,4873,4973
MA,722,2022-08-04T09:00:00Z,West,Control,4874,4974
MA,751,2022-08-03T17:19:59Z,North,1,4676,4776
MA,751,2022-08-03T17:19:59Z,North,2,4677,4777
MA,751,2022-08-03T17:19:59Z,North,3,4678,4778
MA,751,2022-08-03T17:19:59Z,North,4,4679,4779
MA,751,2022-08-03T17:19:59Z,North,Control,4681,4781
MA,751,2022-08-03T17:19:59Z,East,1,4669,4769
MA,751,2022-08-03T17:19:59Z,East,2,4671,4771
MA,751,2022-08-03T17:19:59Z,East,3,4672,4772
MA,751,2022-08-03T17:19:59Z,East,4,4673,4773
MA,751,2022-08-03T17:19:59Z,East,5,4674,4774
MA,751,2022-08-03T17:19:59Z,East,Control,4675,4775
MA,751,2022-08-03T17:19:59Z,South,1,4663,4763
MA,751,2022-08-03T17:19:59Z,South,2,4664,4764
MA,751,2022-08-03T17:19:59Z,South,3,4665,4765
MA,751,2022-08-03T17:19:59Z,South,4,4666,4766
MA,751,2022-08-03T17:19:59Z,South,5,4667,4767
MA,751,2022-08-03T17:19:59Z,South,Control,4668,4768
MA,751,2022-08-03T17:19:59Z,West,1,4682,4782
MA,751,2022-08-03T17:19:59Z,West,2,4683,4783
MA,751,2022-08-03T17:19:59Z,West,3,4684,4784
MA,751,2022-08-03T17:19:59Z,West,4,4685,4785
MA,751,2022-08-03T17:19:59Z,West,5,4686,4786
MA,751,2022-08-03T17:19:59Z,West,Control,4687,4787
MA,779,2022-08-03T16:45:00Z,North,1,4652,4752
MA,779,2022-08-03T16:45:00Z,North,2,4653,4753
MA,779,2022-08-03T16:45:00Z,North,3,4654,4754
MA,779,2022-08-03T16:45:00Z,North,4,4655,4755
MA,779,2022-08-03T16:45:00Z,North,Control,4656,4756
MA,779,2022-08-03T16:45:00Z,East,1,4645,4745
MA,779,2022-08-03T16:45:00Z,East,2,4646,4746
MA,779,2022-08-03T16:45:00Z,East,3,4647,4747
MA,779,2022-08-03T16:45:00Z,East,4,4648,4748
MA,779,2022-08-03T16:45:00Z,East,5,4649,4749
MA,779,2022-08-03T16:45:00Z,East,Control,4651,4751
MA,779,2022-08-03T16:45:00Z,South,1,4638,4738
MA,779,2022-08-03T16:45:00Z,South,2,4639,4739
MA,779,2022-08-03T16:45:00Z,South,3,4641,4741
MA,779,2022-08-03T16:45:00Z,South,4,4642,4742
MA,779,2022-08-03T16:45:00Z,South,5,4643,4743
MA,779,2022-08-03T16:45:00Z,South,Control,4644,4744
MA,779,2022-08-03T16:45:00Z,West,1,4657,4757
MA,779,2022-08-03T16:45:00Z,West,2,4658,4758
MA,779,2022-08-03T16:45:00Z,West,3,4659,4759
MA,779,2022-08-03T16:45:00Z,West,4,4661,4761
MA,779,2022-08-03T16:45:00Z,West,Control,4662,4762
MC,632,2022-08-03T15:15:00Z,North,1,4625,4725
MC,632,2022-08-03T15:15:00Z,North,2,4626,4726
MC,632,2022-08-03T15:15:00Z,North,3,4627,4727
MC,632,2022-08-03T15:15:00Z,North,4,4628,4728
MC,632,2022-08-03T15:15:00Z,North,5,4629,4729
MC,632,2022-08-03T15:15:00Z,North,Control,4631,4731
MC,632,2022-08-03T15:15:00Z,East,1,4619,4719
MC,632,2022-08-03T15:15:00Z,East,2,4621,4721
MC,632,2022-08-03T15:15:00Z,East,3,4622,4722
MC,632,2022-08-03T15:15:00Z,East,4,4623,4723
MC,632,2022-08-03T15:15:00Z,East,Control,4624,4724
MC,632,2022-08-03T15:15:00Z,South,1,4613,4713
MC,632,2022-08-03T15:15:00Z,South,2,4614,4714
MC,632,2022-08-03T15:15:00Z,South,3,4615,4715
MC,632,2022-08-03T15:15:00Z,South,4,4616,4716
MC,632,2022-08-03T15:15:00Z,South,5,4617,4717
MC,632,2022-08-03T15:15:00Z,South,Control,4618,4718
MC,632,2022-08-03T15:15:00Z,West,1,4632,4732
MC,632,2022-08-03T15:15:00Z,West,2,4633,4733
MC,632,2022-08-03T15:15:00Z,West,3,4634,4734
MC,632,2022-08-03T15:15:00Z,West,4,4635,4735
MC,632,2022-08-03T15:15:00Z,West,5,4636,4736
MC,632,2022-08-03T15:15:00Z,West,Control,4637,4737
MC,T8,2022-08-03T15:15:00Z,North,1,4497,4597
MC,T8,2022-08-03T15:15:00Z,North,2,4498,4598
MC,T8,2022-08-03T15:15:00Z,North,3,4499,4599
MC,T8,2022-08-03T15:15:00Z,North,4,4611,4711
MC,T8,2022-08-03T15:15:00Z,North,Control,4612,4712
MC,T8,2022-08-03T15:15:00Z,East,1,4484,4584
MC,T8,2022-08-03T15:15:00Z,East,2,4485,4585
MC,T8,2022-08-03T15:15:00Z,East,3,4486,4586
MC,T8,2022-08-03T15:15:00Z,East,4,4487,4587
MC,T8,2022-08-03T15:15:00Z,East,5,4488,4588
MC,T8,2022-08-03T15:15:00Z,East,Control,4489,4589
MC,T8,2022-08-03T15:15:00Z,South,1,4477,4577
MC,T8,2022-08-03T15:15:00Z,South,2,4478,4578
MC,T8,2022-08-03T15:15:00Z,South,3,4479,4579
MC,T8,2022-08-03T15:15:00Z,South,4,4481,4581
MC,T8,2022-08-03T15:15:00Z,South,5,4482,4582
MC,T8,2022-08-03T15:15:00Z,South,Control,4483,4583
MC,T8,2022-08-03T15:15:00Z,West,1,4491,4591
MC,T8,2022-08-03T15:15:00Z,West,2,4492,4592
MC,T8,2022-08-03T15:15:00Z,West,3,4493,4593
MC,T8,2022-08-03T15:15:00Z,West,4,4494,4594
MC,T8,2022-08-03T15:15:00Z,West,5,4495,4595
MC,T8,2022-08-03T15:15:00Z,West,Control,4496,4596
MC,T1,2022-08-03T14:00:00Z,North,1,4415,4515
MC,T1,2022-08-03T14:00:00Z,North,2,4416,4516
MC,T1,2022-08-03T14:00:00Z,North,3,4417,4517
MC,T1,2022-08-03T14:00:00Z,North,4,4418,4518
MC,T1,2022-08-03T14:00:00Z,North,Control,4419,4519
MC,T1,2022-08-03T14:00:00Z,East,1,4298,4398
MC,T1,2022-08-03T14:00:00Z,East,2,4299,4399
MC,T1,2022-08-03T14:00:00Z,East,3,4411,4511
MC,T1,2022-08-03T14:00:00Z,East,4,4412,4512
MC,T1,2022-08-03T14:00:00Z,East,5,4413,4513
MC,T1,2022-08-03T14:00:00Z,East,Control,4414,4514
MC,T1,2022-08-03T14:00:00Z,South,1,4292,4392
MC,T1,2022-08-03T14:00:00Z,South,2,4293,4393
MC,T1,2022-08-03T14:00:00Z,South,3,4294,4394
MC,T1,2022-08-03T14:00:00Z,South,4,4295,4395
MC,T1,2022-08-03T14:00:00Z,South,5,4296,4396
MC,T1,2022-08-03T14:00:00Z,South,Control,4297,4397
MC,T1,2022-08-03T14:00:00Z,West,1,4421,4521
MC,T1,2022-08-03T14:00:00Z,West,2,4422,4522
MC,T1,2022-08-03T14:00:00Z,West,3,4423,4523
MC,T1,2022-08-03T14:00:00Z,West,4,4424,4524
MC,T1,2022-08-03T14:00:00Z,West,Control,4425,4525
MD,1479,2022-08-03T13:15:00Z,North,1,4279,4379
MD,1479,2022-08-03T13:15:00Z,North,2,4281,4381
MD,1479,2022-08-03T13:15:00Z,North,3,4282,4382
MD,1479,2022-08-03T13:15:00Z,North,4,4283,4383
MD,1479,2022-08-03T13:15:00Z,North,5,4284,4384
MD,1479,2022-08-03T13:15:00Z,North,Control,4285,4385
MD,1479,2022-08-03T13:15:00Z,East,1,4273,4373
MD,1479,2022-08-03T13:15:00Z,East,2,4274,4374
MD,1479,2022-08-03T13:15:00Z,East,3,4275,4375
MD,1479,2022-08-03T13:15:00Z,East,4,4276,4376
MD,1479,2022-08-03T13:15:00Z,East,5,4277,4377
MD,1479,2022-08-03T13:15:00Z,East,Control,4278,4378
MD,1479,2022-08-03T13:15:00Z,South,1,4266,4366
MD,1479,2022-08-03T13:15:00Z,South,2,4267,4367
MD,1479,2022-08-03T13:15:00Z,South,3,4268,4368
MD,1479,2022-08-03T13:15:00Z,South,4,4269,4369
MD,1479,2022-08-03T13:15:00Z,South,5,4271,4371
MD,1479,2022-08-03T13:15:00Z,South,Control,4272,4372
MD,1479,2022-08-03T13:15:00Z,West,1,4286,4386
MD,1479,2022-08-03T13:15:00Z,West,2,4287,4387
MD,1479,2022-08-03T13:15:00Z,West,3,4288,4388
MD,1479,2022-08-03T13:15:00Z,West,4,4289,4389
MD,1479,2022-08-03T13:15:00Z,West,Control,4291,4391
MC,T4,2022-08-03T14:25:00Z,North,1,4465,4565
MC,T4,2022-08-03T14:25:00Z,North,2,4466,4566
MC,T4,2022-08-03T14:25:00Z,North,3,4467,4567
MC,T4,2022-08-03T14:25:00Z,North,4,4468,4568
MC,T4,2022-08-03T14:25:00Z,North,5,4469,4569
MC,T4,2022-08-03T14:25:00Z,North,Control,4471,4571
MC,T4,2022-08-03T14:25:00Z,East,1,4458,4558
MC,T4,2022-08-03T14:25:00Z,East,2,4459,4559
MC,T4,2022-08-03T14:25:00Z,East,3,4461,4561
MC,T4,2022-08-03T14:25:00Z,East,4,4462,4562
MC,T4,2022-08-03T14:25:00Z,East,5,4463,4563
MC,T4,2022-08-03T14:25:00Z,East,Control,4464,4564
MC,T4,2022-08-03T14:25:00Z,South,1,4452,4552
MC,T4,2022-08-03T14:25:00Z,South,2,4453,4553
MC,T4,2022-08-03T14:25:00Z,South,3,4454,4554
MC,T4,2022-08-03T14:25:00Z,South,4,4455,4555
MC,T4,2022-08-03T14:25:00Z,South,5,4456,4556
MC,T4,2022-08-03T14:25:00Z,South,Control,4457,4557
MC,T4,2022-08-03T14:25:00Z,West,1,4472,4572
MC,T4,2022-08-03T14:25:00Z,West,2,4473,4573
MC,T4,2022-08-03T14:25:00Z,West,3,4474,4574
MC,T4,2022-08-03T14:25:00Z,West,4,4475,4575
MC,T4,2022-08-03T14:25:00Z,West,Control,4476,4576
MC,623,2022-08-03T14:25:00Z,North,1,4439,4539
MC,623,2022-08-03T14:25:00Z,North,2,4441,4541
MC,623,2022-08-03T14:25:00Z,North,3,4442,4542
MC,623,2022-08-03T14:25:00Z,North,4,4443,4543
MC,623,2022-08-03T14:25:00Z,North,Control,4444,4544
MC,623,2022-08-03T14:25:00Z,East,1,4433,4533
MC,623,2022-08-03T14:25:00Z,East,2,4434,4534
MC,623,2022-08-03T14:25:00Z,East,3,4435,4535
MC,623,2022-08-03T14:25:00Z,East,4,4436,4536
MC,623,2022-08-03T14:25:00Z,East,5,4437,4537
MC,623,2022-08-03T14:25:00Z,East,Control,4438,4538
MC,623,2022-08-03T14:25:00Z,South,1,4426,4526
MC,623,2022-08-03T14:25:00Z,South,2,4427,4527
MC,623,2022-08-03T14:25:00Z,South,3,4428,4528
MC,623,2022-08-03T14:25:00Z,South,4,4429,4529
MC,623,2022-08-03T14:25:00Z,South,5,4431,4531
MC,623,2022-08-03T14:25:00Z,South,Control,4432,4532
MC,623,2022-08-03T14:25:00Z,West,1,4445,4545
MC,623,2022-08-03T14:25:00Z,West,2,4446,4546
MC,623,2022-08-03T14:25:00Z,West,3,4447,4547
MC,623,2022-08-03T14:25:00Z,West,4,4448,4548
MC,623,2022-08-03T14:25:00Z,West,5,4449,4549
