dna,tree_id,direction,replicate,plot,elevation
3541,2539,West,2,D,H
3544,2539,West,6,D,H
3592,402,North,1,F,L
3593,402,North,2,F,L
3594,402,North,3,F,L
3595,402,North,4,F,L
3596,402,North,5,F,L
3597,402,North,6,F,L
3575,402,East,1,F,L
3587,402,East,2,F,L
3588,402,East,3,F,L
3589,402,East,4,F,L
3591,402,East,6,F,L
3572,402,South,3,F,L
3574,402,South,6,F,L
3598,402,West,1,F,L
3599,402,West,2,F,L
3711,402,West,3,F,L
3712,402,West,4,F,L
3713,402,West,6,F,L
3398,2551,North,1,D,H
3399,2551,North,2,D,H
3513,2551,North,6,D,H
3392,2551,East,1,D,H
3393,2551,East,2,D,H
3394,2551,East,3,D,H
3395,2551,East,4,D,H
3396,2551,East,5,D,H
3397,2551,East,6,D,H
3386,2551,South,1,D,H
3387,2551,South,2,D,H
3388,2551,South,3,D,H
3389,2551,South,4,D,H
3391,2551,South,6,D,H
3515,2551,West,2,D,H
3517,2551,West,4,D,H
3519,2551,West,6,D,H
3375,2572,North,1,D,H
3376,2572,North,2,D,H
3377,2572,North,3,D,H
3378,2572,North,4,D,H
3379,2572,North,6,D,H
3368,2572,East,1,D,H
3369,2572,East,2,D,H
3371,2572,East,3,D,H
3372,2572,East,4,D,H
3373,2572,East,5,D,H
3374,2572,East,6,D,H
3362,2572,South,1,D,H
3363,2572,South,2,D,H
3364,2572,South,3,D,H
3365,2572,South,4,D,H
3366,2572,South,5,D,H
3367,2572,South,6,D,H
3381,2572,West,1,D,H
3382,2572,West,2,D,H
3383,2572,West,3,D,H
3384,2572,West,4,D,H
3385,2572,West,6,D,H
3141,2441,North,1,E,H
3142,2441,North,2,E,H
3143,2441,North,3,E,H
3144,2441,North,4,E,H
3145,2441,North,6,E,H
3135,2441,East,1,E,H
3136,2441,East,2,E,H
3137,2441,East,3,E,H
3138,2441,East,4,E,H
3139,2441,East,6,E,H
3128,2441,South,1,E,H
3129,2441,South,2,E,H
3131,2441,South,3,E,H
3132,2441,South,4,E,H
3133,2441,South,5,E,H
3134,2441,South,6,E,H
3146,2441,West,1,E,H
3147,2441,West,2,E,H
3148,2441,West,3,E,H
3149,2441,West,4,E,H
3151,2441,West,5,E,H
3152,2441,West,6,E,H
2982,2398,North,1,E,H
2983,2398,North,2,E,H
2984,2398,North,3,E,H
2985,2398,North,4,E,H
2986,2398,North,5,E,H
2987,2398,North,6,E,H
2976,2398,East,1,E,H
2977,2398,East,2,E,H
2978,2398,East,3,E,H
2979,2398,East,4,E,H
2981,2398,East,6,E,H
2971,2398,South,1,E,H
2972,2398,South,2,E,H
2973,2398,South,3,E,H
2974,2398,South,4,E,H
2975,2398,South,6,E,H
2989,2398,West,1,E,H
2991,2398,West,2,E,H
2992,2398,West,3,E,H
2993,2398,West,4,E,H
2994,2398,West,6,E,H
2545,2314,North,1,A,H
2546,2314,North,2,A,H
2547,2314,North,3,A,H
2548,2314,North,4,A,H
2549,2314,North,6,A,H
2538,2314,East,1,A,H
2539,2314,East,2,A,H
2541,2314,East,3,A,H
2542,2314,East,4,A,H
2543,2314,East,5,A,H
2544,2314,East,6,A,H
2532,2314,South,1,A,H
2533,2314,South,2,A,H
2534,2314,South,3,A,H
2535,2314,South,4,A,H
2536,2314,South,5,A,H
2537,2314,South,6,A,H
2551,2314,West,1,A,H
2552,2314,West,2,A,H
2553,2314,West,3,A,H
2554,2314,West,4,A,H
2555,2314,West,5,A,H
2556,2314,West,6,A,H
2337,2127,North,1,B,H
2338,2127,North,2,B,H
2339,2127,North,3,B,H
2341,2127,North,4,B,H
2342,2127,North,6,B,H
2343,2127,East,1,B,H
2344,2127,East,2,B,H
2345,2127,East,3,B,H
2346,2127,East,4,B,H
2347,2127,East,5,B,H
2348,2127,East,6,B,H
2324,2127,South,1,B,H
2325,2127,South,2,B,H
2326,2127,South,3,B,H
2327,2127,South,4,B,H
2328,2127,South,5,B,H
2329,2127,South,6,B,H
2331,2127,West,1,B,H
2332,2127,West,2,B,H
